element_start,selfish_thoughts,Token
m_Chance,1,
m_ConsumeTypes,manual,
m_Tags,token,top,failure,selfish_thoughts,
m_Limit,1,
element_end
element_start,selfish_thoughts,DataExternalBuffs
buffs,selfish_thoughts_stealth_buff,
element_end
#element_start,performer_stress_3orless,Condition
#m_ConditionType,stress,
#m_ConditionActorType,PERFORMER,
#m_ConditionNumber,-1,
#m_ConditionNumberType,LESS_THAN_OR_EQUAL,
#element_end
#element_start,lung_deflation_damage,Condition
#m_ConditionType,health_percent,
#m_ConditionActorType,PERFORMER,
#m_ConditionNumber,-0.06,
#m_ConditionNumberType,LESS_THAN_OR_EQUAL,
#element_end
element_start,selfish_thoughts,ResourceTokenInherit
Inherit,worship
m_TokenSprite,token_selfish_thoughts,
element_end
element_start,heaving_breaths,Token
m_Chance,1,
m_ConsumeTypes,manual,
m_Tags,token,top,failure,heaving_breaths,
m_Limit,1,
remove_any_conditions,breath_loss_damage,
element_end
element_start,heaving_breaths,ResourceTokenInherit
Inherit,corpulent
m_TokenSprite,token_heaving_breaths,
element_end
element_start,tunnel_vision,Token
m_Chance,1,
m_ConsumeTypes,manual,
m_Tags,token,top,failure,tunnel_vision,
m_Limit,1,
element_end
element_start,tunnel_vision,ResourceTokenInherit
Inherit,benediction
m_TokenSprite,token_tunnel_vision,
element_end
element_start,failure_ult_wumpus_antiquarian,Token
m_Chance,1,
m_ConsumeTypes,manual,
m_Tags,token,top,failure_ult,
m_Limit,1,
m_IsHidden,True,
replace,pyro_bomb,WITH,failure_ult_wumpus_antiquarian,
replace,medic_salve,WITH,failure_ult_wumpus_antiquarian,
element_end
element_start,failure_ult_wumpus_antiquarian,ActorDataSkill
m_IsFriendly,False,
launch_ranks,1,2,3,4,
target_ranks,1,2,3,4,
m_IsForced,True,
m_IsBlockPass,True,
m_AllConditionIds,performer_has_failure_ultimate,target_is_god,
m_CanBeRiposted,False,
m_IsMultiHit,False,
token_ignores,til_failure_ultimate,
m_ActorDataEffectsId,failure_ult_skill_effects,
performer_buffs,exultation_loathing_dmg_buff,
m_IgnoreDamageMultipliers,True,
element_end
element_start,failure_ult_wumpus_antiquarian,ActorDataStats
key_map,health_damage,health_damage_range,crit_chance,
add_stats,200,0,0,
element_end
element_start,failure_ult_wumpus_antiquarian,ResourceSkillInherit
Inherit,pillager_antiquarian_knife
m_OverrideSfxSkill,failure_ult_flg,
element_end
